套件名稱,引用套件名稱,套件 Repo URL,License 名稱,License URL,備註
@redux-saga/delay-p,,https://github.com/redux-saga/redux-saga,MIT License,https://github.com/redux-saga/redux-saga/blob/main/LICENSE,
@redux-saga/is,,https://github.com/redux-saga/redux-saga,MIT License,https://github.com/redux-saga/redux-saga/blob/main/LICENSE,
@redux-saga/symbols,,https://github.com/redux-saga/redux-saga,MIT License,https://github.com/redux-saga/redux-saga/blob/main/LICENSE,
@redux-saga/types,,https://github.com/redux-saga/redux-saga,MIT License,https://github.com/redux-saga/redux-saga/blob/main/LICENSE,
@rtsao/scc,,https://github.com/rtsao/scc,MIT License,https://github.com/rtsao/scc/blob/master/LICENSE,
@rushstack/eslint-patch,,https://github.com/microsoft/rushstack,Other,https://github.com/microsoft/rushstack/blob/main/LICENSE,
@sinclair/typebox,,https://github.com/sinclairzx81/typebox-legacy,Other,https://github.com/sinclairzx81/typebox-legacy/blob/main/license,
@sinonjs/commons,,https://github.com/sinonjs/commons,"BSD 3-Clause ""New"" or ""Revised"" License",https://github.com/sinonjs/commons/blob/main/LICENSE,
@sinonjs/fake-timers,,https://github.com/sinonjs/fake-timers,"BSD 3-Clause ""New"" or ""Revised"" License",https://github.com/sinonjs/fake-timers/blob/main/LICENSE,
@stimulus/polyfills,,https://github.com/stimulusjs/stimulus,MIT License,https://github.com/stimulusjs/stimulus/blob/main/LICENSE.md,
@swc/counter,,https://github.com/swc-project/pkgs,非標準 (),,License type could not be determined
@swc/helpers,,https://github.com/swc-project/swc,Apache License 2.0,https://github.com/swc-project/swc/blob/main/LICENSE,
@tanem/svg-injector,,https://github.com/tanem/svg-injector,MIT License,https://github.com/tanem/svg-injector/blob/master/LICENSE,
@tensorflow/tfjs-core,,https://github.com/tensorflow/tfjs,Apache License 2.0,https://github.com/tensorflow/tfjs/blob/master/LICENSE,
@testing-library/dom,,https://github.com/testing-library/dom-testing-library,MIT License,https://github.com/testing-library/dom-testing-library/blob/main/LICENSE,
@testing-library/jest-dom,,https://github.com/testing-library/jest-dom,MIT License,https://github.com/testing-library/jest-dom/blob/main/LICENSE,
@testing-library/react,,https://github.com/testing-library/react-testing-library,MIT License,https://github.com/testing-library/react-testing-library/blob/main/LICENSE,
@testing-library/user-event,,https://github.com/testing-library/user-event,MIT License,https://github.com/testing-library/user-event/blob/main/LICENSE,
@tootallnate/once,,https://github.com/TooTallNate/once,MIT License,https://github.com/TooTallNate/once/blob/master/LICENSE,
@tybys/wasm-util,,https://github.com/toyobayashi/wasm-util,非標準 (),,License type could not be determined
@types/aria-query,,https://github.com/DefinitelyTyped/DefinitelyTyped,Other,https://github.com/DefinitelyTyped/DefinitelyTyped/blob/master/LICENSE,
@types/babel__core,,https://github.com/DefinitelyTyped/DefinitelyTyped,Other,https://github.com/DefinitelyTyped/DefinitelyTyped/blob/master/LICENSE,
@types/babel__generator,,https://github.com/DefinitelyTyped/DefinitelyTyped,Other,https://github.com/DefinitelyTyped/DefinitelyTyped/blob/master/LICENSE,
@types/babel__template,,https://github.com/DefinitelyTyped/DefinitelyTyped,Other,https://github.com/DefinitelyTyped/DefinitelyTyped/blob/master/LICENSE,
@types/babel__traverse,,https://github.com/DefinitelyTyped/DefinitelyTyped,Other,https://github.com/DefinitelyTyped/DefinitelyTyped/blob/master/LICENSE,
@types/debounce-promise,,https://github.com/DefinitelyTyped/DefinitelyTyped,Other,https://github.com/DefinitelyTyped/DefinitelyTyped/blob/master/LICENSE,
@types/graceful-fs,,https://github.com/DefinitelyTyped/DefinitelyTyped,Other,https://github.com/DefinitelyTyped/DefinitelyTyped/blob/master/LICENSE,
@types/hoist-non-react-statics,,https://github.com/DefinitelyTyped/DefinitelyTyped,Other,https://github.com/DefinitelyTyped/DefinitelyTyped/blob/master/LICENSE,
@types/istanbul-lib-coverage,,https://github.com/DefinitelyTyped/DefinitelyTyped,Other,https://github.com/DefinitelyTyped/DefinitelyTyped/blob/master/LICENSE,
@types/istanbul-lib-report,,https://github.com/DefinitelyTyped/DefinitelyTyped,Other,https://github.com/DefinitelyTyped/DefinitelyTyped/blob/master/LICENSE,
@types/istanbul-reports,,https://github.com/DefinitelyTyped/DefinitelyTyped,Other,https://github.com/DefinitelyTyped/DefinitelyTyped/blob/master/LICENSE,
@types/jest,,https://github.com/DefinitelyTyped/DefinitelyTyped,Other,https://github.com/DefinitelyTyped/DefinitelyTyped/blob/master/LICENSE,
@types/jsdom,,https://github.com/DefinitelyTyped/DefinitelyTyped,Other,https://github.com/DefinitelyTyped/DefinitelyTyped/blob/master/LICENSE,
